feature_name,importance,feature_index,importance_rank,importance_percent,cumulative_percent
step_16_指数_创业板指,4,312,570,0.0167,99.7163
step_18_行业_收盘价,4,347,571,0.0167,99.733
step_03_行业_最高价,4,71,572,0.0167,99.7497
step_00_行业_最高价,4,12,573,0.0167,99.7664
step_24_指数_深证成指,4,464,574,0.0167,99.7831
step_22_指数_创业板指,4,427,575,0.0167,99.7998
step_11_行业_开盘价,4,220,576,0.0167,99.8165
MA5_最低价,4,586,577,0.0167,99.8332
step_14_行业_最高价,4,271,578,0.0167,99.8499
step_26_行业_最高价,4,496,579,0.0167,99.8666
step_26_行业_开盘价,4,494,580,0.0167,99.8833
step_09_指数_沪深300,4,187,581,0.0167,99.9
step_09_行业_收盘价,4,183,582,0.0167,99.9167
step_20_行业_收盘价,3,383,583,0.0125,99.9292
step_04_行业_开盘价,3,90,584,0.0125,99.9417
step_00_行业_最低价,3,13,585,0.0125,99.9542
step_08_指数_上证指数,3,167,586,0.0125,99.9667
step_01_行业_最高价,3,33,587,0.0125,99.9792
step_10_行业_最低价,2,203,588,0.0084,99.9876
step_07_行业_最高价,2,148,589,0.0084,99.996
step_15_指数_创业板指,1,294,590,0.0042,100.0002
