股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh600452,涪陵电力,2004-03-03,正常交易,
sh600455,博通股份,2004-03-29,正常交易,
sh600456,宝钛股份,2002-04-12,正常交易,
sh600458,时代新材,2002-12-19,正常交易,
sh600459,贵研铂业,2003-05-16,正常交易,
sh600460,士兰微,2003-03-11,正常交易,
sh600461,洪城环境,2004-06-01,正常交易,
sh600463,空港股份,2004-03-18,正常交易,
sh600467,好当家,2004-04-05,正常交易,
sh600468,百利电气,2001-06-15,正常交易,
sh600469,风神股份,2003-10-21,正常交易,
sh600470,六国化工,2004-03-05,正常交易,
sh600475,华光环能,2003-07-21,正常交易,
sh600476,湘邮科技,2003-12-10,正常交易,
sh600477,杭萧钢构,2003-11-10,正常交易,
sh600478,科力远,2003-09-18,正常交易,
sh600479,千金药业,2004-03-12,正常交易,
sh600480,凌云股份,2003-08-15,正常交易,
sh600481,双良节能,2003-04-22,正常交易,
sh600482,中国动力,2004-07-14,正常交易,
sh600483,福能股份,2004-05-31,正常交易,
sh600486,扬农化工,2002-04-25,正常交易,
sh600487,亨通光电,2003-08-22,正常交易,
sh600488,津药药业,2001-06-18,正常交易,
sh600489,中金黄金,2003-08-14,正常交易,
sh600490,鹏欣资源,2003-06-26,正常交易,
sh600491,龙元建设,2004-05-24,正常交易,
sh600493,凤竹纺织,2004-04-21,正常交易,
sh600495,晋西车轴,2004-05-26,正常交易,
sh600496,精工钢构,2002-06-05,正常交易,
sh600497,驰宏锌锗,2004-04-20,正常交易,
sh600498,烽火通信,2001-08-23,正常交易,
sh600499,科达制造,2002-10-10,正常交易,
sh600500,中化国际,2000-03-01,正常交易,
sh600501,航天晨光,2001-06-15,正常交易,
sh600502,安徽建工,2003-04-15,正常交易,
sh600503,华丽家族,2002-07-09,正常交易,
sh600505,西昌电力,2002-05-30,正常交易,
sh600506,统一股份,2001-12-26,正常交易,
sh600507,方大特钢,2003-09-30,正常交易,
sh600508,上海能源,2001-08-29,正常交易,
sh600509,天富能源,2002-02-28,正常交易,
sh600510,黑牡丹,2002-06-18,正常交易,
sh600511,国药股份,2002-11-27,正常交易,
sh600512,腾达建设,2002-12-26,正常交易,
sh600513,联环药业,2003-03-19,正常交易,
sh600515,海南机场,2002-08-06,正常交易,
sh600516,方大炭素,2002-08-30,正常交易,
sh600517,国网英大,2003-10-10,正常交易,
sh600518,康美药业,2001-03-19,正常交易,
sh600519,贵州茅台,2001-08-27,正常交易,
sh600520,三佳科技,2002-01-08,正常交易,
sh600521,华海药业,2003-03-04,正常交易,
sh600522,中天科技,2002-10-24,正常交易,
sh600523,贵航股份,2001-12-27,正常交易,
sh600525,ST长园,2002-12-02,正常交易,
sh600526,菲达环保,2002-07-22,正常交易,
sh600527,江南高纤,2003-11-27,正常交易,
sh600528,中铁工业,2001-05-28,正常交易,
sh600529,山东药玻,2002-06-03,正常交易,
sh600530,交大昂立,2001-07-02,正常交易,
sh600531,豫光金铅,2002-07-30,正常交易,
sh600533,栖霞建设,2002-03-28,正常交易,
sh600535,天士力,2002-08-23,正常交易,
sh600536,中国软件,2002-05-17,正常交易,
sh600537,亿晶光电,2003-01-23,正常交易,
sh600538,国发股份,2003-01-14,正常交易,
sh600539,狮头股份,2001-08-24,正常交易,
sh600540,新赛股份,2004-01-07,正常交易,
sh600543,莫高股份,2004-03-24,正常交易,
sh600545,卓郎智能,2003-12-03,正常交易,
sh600546,山煤国际,2003-07-31,正常交易,
sh600547,山东黄金,2003-08-28,正常交易,
sh600548,深高速,2001-12-25,正常交易,
sh600549,厦门钨业,2002-11-07,正常交易,
sh600550,保变电气,2001-02-28,正常交易,
sh600551,时代出版,2002-09-05,正常交易,
