stock_code,stock_name,industry,primary_concept,all_concepts,region
sh600152,维科技术,电池,预亏预减,"预亏预减,锂电池,长江三角,华为汽车,钠离子电池,储能",浙江
sh600153,建发股份,贸易行业,电商概念,"融资融券,电商概念,央国企改革,中证500,上证380,沪股通,MSCI中国,养老金,富时罗素,标准普尔,白酒,内贸流通,破净股,小米汽车",福建
sh600155,华创云信,证券,参股券商,"参股券商,新材料,参股银行,预盈预增,融资融券,互联金融,京津冀,中证500,沪股通,券商概念,富时罗素,数字经济,破净股,2025中报预增",北京
sh600156,华升股份,纺织服装,预亏预减,"预亏预减,电商概念,医疗器械概念,央国企改革,贬值受益,并购重组概念",湖南
sh600157,永泰能源,电力行业,煤化工,"煤化工,物联网,预亏预减,核能核电,太阳能,融资融券,页岩气,参股保险,中证500,上证380,沪股通,一带一路,MSCI中国,储能,低价股,钒电池,破净股,2025中报预减",山西
sh600158,中体产业,文化传媒,中字头,"中字头,预亏预减,融资融券,彩票概念,央国企改革,沪股通,体育产业,数据中心,NFT概念,职业教育,冰雪经济,首发经济",天津
sh600159,大龙地产,房地产开发,参股银行,"参股银行,央国企改革,京津冀,低价股,微盘股",北京
sh600160,巨化股份,化学制品,HS300_,"HS300_,创投,化工原料,预盈预增,锂电池,长江三角,融资融券,上证180_,央国企改革,氟化工,沪股通,MSCI中国,富时罗素,标准普尔,国产芯片,消毒剂,半导体概念,中芯概念,碳交易,工业气体,PVDF概念,液冷概念,2025中报预增",浙江
sh600161,天坛生物,生物制品,HS300_,"HS300_,融资融券,病毒防治,央国企改革,上证380,沪股通,MSCI中国,富时罗素,标准普尔",北京
sh600162,香江控股,房地产开发,深圳特区,"深圳特区,预亏预减,融资融券,养老概念,粤港自贸,沪股通,富时罗素,标准普尔,低价股,破净股",广东
sh600163,中闽能源,电力行业,新能源,"新能源,机构重仓,太阳能,风能,融资融券,央国企改革,充电桩,沪股通,化债(AMC)概念,绿色电力",福建
sh600165,ST宁科,化学制品,节能环保,"节能环保,ST股,新材料,参股银行,预盈预增",宁夏
